Population,Per Capita Income,Median Household Income,Total Pop by Tenure,zip code tabulation area
36264.0,27235.0,47305.0,18077.0,28311
3837.0,24821.0,52756.0,2917.0,28323
576.0,18800.0,41500.0,300.0,28325
56987.0,28328.0,45938.0,27095.0,28314
351.0,16864.0,-666666666.0,264.0,28330
2338.0,15375.0,26993.0,962.0,28347
4716.0,20228.0,35690.0,3762.0,28351
39103.0,21043.0,35275.0,20299.0,28358
17369.0,20124.0,42476.0,10725.0,28365
30.0,-666666666.0,35625.0,13.0,28367
6632.0,24841.0,41415.0,4636.0,28382
11151.0,19860.0,32652.0,8256.0,28384
4956.0,31024.0,60116.0,4083.0,28356
134.0,17321.0,42708.0,106.0,28375
24831.0,19564.0,33904.0,16221.0,28379
5333.0,25773.0,42196.0,3960.0,28394
2313.0,24873.0,51892.0,1886.0,28395
23990.0,26206.0,45189.0,11300.0,28390
14594.0,22311.0,39370.0,10120.0,28360
5863.0,28154.0,49511.0,4781.0,28391
1525.0,26051.0,39353.0,817.0,28363
17205.0,41630.0,83023.0,14051.0,28374
43211.0,26649.0,47737.0,27699.0,28376
2124.0,20546.0,41081.0,1307.0,28393
2729.0,21905.0,42924.0,1984.0,28396
2638.0,15440.0,30000.0,1791.0,28385
14493.0,17349.0,28271.0,8048.0,28372
14641.0,28173.0,49969.0,8753.0,28387
2585.0,25353.0,44225.0,1705.0,28373
15321.0,18172.0,30407.0,11617.0,28364
5364.0,20476.0,36053.0,4143.0,28366
13240.0,16909.0,26721.0,8401.0,28377
9029.0,17845.0,33707.0,6911.0,28383
6240.0,17804.0,30674.0,4137.0,28386
7866.0,18209.0,35343.0,4471.0,28398
2583.0,16699.0,30869.0,1894.0,28357
2736.0,18888.0,28958.0,2037.0,28369
7425.0,24592.0,49677.0,5255.0,28371
1582.0,19382.0,41000.0,1307.0,28392
33631.0,36487.0,78878.0,27909.0,28409
3751.0,18193.0,45000.0,2855.0,28420
40404.0,18128.0,35601.0,11871.0,28403
47.0,16667.0,-666666666.0,12.0,28424
1363.0,21361.0,37989.0,1151.0,28421
8068.0,21268.0,44396.0,5874.0,28422
2471.0,22376.0,40848.0,1824.0,28423
2046.0,24238.0,53317.0,1673.0,28430
6712.0,34073.0,63041.0,4800.0,28445
729.0,19545.0,25917.0,423.0,28448
1869.0,35313.0,70521.0,1399.0,28449
2058.0,17271.0,31172.0,1091.0,28432
35675.0,34997.0,70564.0,28298.0,28411
2102.0,19827.0,47177.0,1527.0,28436
4239.0,16859.0,28014.0,2423.0,28441
21002.0,30253.0,60886.0,17894.0,28443
1171.0,21741.0,38377.0,841.0,28434
6652.0,22589.0,35746.0,4429.0,28431
1595.0,16225.0,29545.0,1255.0,28438
1167.0,23209.0,36389.0,950.0,28439
32378.0,25939.0,53141.0,24373.0,28451
23923.0,19810.0,31138.0,8291.0,28401
37788.0,29370.0,51495.0,22645.0,28412
1786.0,21593.0,31716.0,1521.0,28399
1624.0,21493.0,49811.0,1175.0,28447
11903.0,18005.0,38241.0,6934.0,28425
7799.0,22382.0,46071.0,5230.0,28429
6542.0,33700.0,62207.0,3828.0,28428
5185.0,20607.0,30915.0,3684.0,28433
2291.0,18172.0,34242.0,1908.0,28435
2598.0,26695.0,49712.0,1643.0,28450
31788.0,28946.0,53724.0,19004.0,28405
1552.0,21017.0,37200.0,1182.0,28442
1803.0,21672.0,42147.0,1596.0,28444
